Emissions,LAT,LON
0,42.5063,-1.5218
1370336,-38.4161,-63.6167
59872,40.0691,45.0382
5450851,-25.2744,133.7751
13036512,47.5162,14.5501
358890,40.1431,47.5769
756352,53.7098,27.9534
39824016,50.5039,4.4699
0,27.5142,90.4336
0,4.5353,114.7277
32976,42.7339,25.4858
12413632,56.1304,-106.3468
0,7.54,5.5471
14726,45.1000,15.2000
2868912,56.2639,9.5018
274191,58.5953,25.0136
208848,61.9241,25.7482
97817810,46.2276,2.2137
111364,42.3154,43.3569
208232450,51.1657,10.4515
0,71.7069,-42.6043
0,-9.9456,9.6966
5254176,47.1625,19.5033
4431669,20.5937,78.9629
14656,-0.7893,113.9213
12208448,41.8719,12.5674
6756416,36.2048,138.2529
1801339,48.0196,66.9237
155585,41.2044,74.7661
179686,56.8796,24.6032
281180,55.1694,23.8813
0,22.1987,111.5439
7328,4.2105,101.9758
0,21.0079,-10.9408
279702,47.4116,28.3699
1337,42.7087,19.3744
10284848,52.1326,5.2913
1421632,-40.9006,174.8860
7758,41.6086,21.7453
2077488,60.4720,8.4689
0,-6.3149,143.9555
10992,-9.1900,-75.0152
41864864,51.9194,19.1451
1678112,39.3999,-8.2245
806080,45.9432,24.9668
16579712,61.5240,105.3188
39345,44.0165,21.0059
0,8.4606,-11.7799
0,1.3521,103.8198
8390685,48.6690,19.6990
11222,46.1512,14.9955
296784,-30.5595,22.9375
7338992,40.4637,-3.7492
4946400,60.1282,18.6435
2876240,46.8182,8.2275
88687,38.8610,71.2761
366400,38.9637,35.2433
227061,38.9697,59.5563
0,-7.1095,177.6493
5265694,48.3794,31.1656
353022720,55.3781,-3.4360
401747300,37.0902,-95.7129
705278,41.3775,64.5853
