Emissions,LAT,LON
84005,28.0339,1.6596
0,42.5063,-1.5218
12767495,-38.4161,-63.6167
342566,40.0691,45.0382
134573,12.5211,-69.9683
25899494,-25.2744,133.7751
18863498,47.5162,14.5501
2058126,40.1431,47.5769
7328,13.1939,-59.5432
4357852,53.7098,27.9534
93672490,50.5039,4.4699
0,27.5142,90.4336
5513964,-14.2350,-51.9253
0,4.5353,114.7277
2402871,42.7339,25.4858
94347740,56.1304,-106.3468
3850211,-35.6751,-71.5430
49558456,35.0000,103.0000
652192,4.5709,74.2973
0,7.54,5.5471
1617456,45.1000,15.2000
2025363,12.1696,-68.9900
13806466,56.2639,9.5018
677840,-1.8312,-78.1834
1021042,26.8206,30.8025
1587757,58.5953,25.0136
2648241,61.9241,25.7482
237634190,46.2276,2.2137
637101,42.3154,43.3569
462091780,51.1657,10.4515
2853542,39.0742,21.8243
0,71.7069,-42.6043
0,-9.9456,9.6966
12514887,47.1625,19.5033
42399496,20.5937,78.9629
18084938,-0.7893,113.9213
18514192,32.4279,53.6880
370064,33.2232,43.6793
9552048,53.7798,-7.3055
39977,31.0461,34.8516
39549784,41.8719,12.5674
86165784,36.2048,138.2529
10403240,48.0196,66.9237
898476,41.2044,74.7661
1033721,56.8796,24.6032
1613597,55.1694,23.8813
0,22.1987,111.5439
3671328,4.2105,101.9758
0,21.0079,-10.9408
20379168,23.6345,-102.5528
1611521,47.4116,28.3699
146846,42.7087,19.3744
40007,31.7917,-7.0926
10903,-18.6657,35.5296
3085088,21.9162,95.9560
40779430,52.1326,5.2913
4865019,-40.9006,174.8860
937984,9.0820,8.6753
2221541,40.3399,127.5101
852075,41.6086,21.7453
8726636,60.4720,8.4689
0,-6.3149,143.9555
5624151,-9.1900,-75.0152
87520,12.8797,121.7740
56565140,51.9194,19.1451
4323133,39.3999,-8.2245
23242812,45.9432,24.9668
95533810,61.5240,105.3188
4321381,44.0165,21.0059
0,8.4606,-11.7799
0,1.3521,103.8198
224254,18.0708,-63.0501
12908804,48.6690,19.6990
1232589,46.1512,14.9955
28722096,-30.5595,22.9375
123419,35.9078,127.7669
23636364,40.4637,-3.7492
18932354,60.1282,18.6435
9556195,46.8182,8.2275
4242912,23.6978,120.9605
510272.97,38.8610,71.2761
3645680,10.6918,-61.2225
3971538,38.9637,35.2433
1296308,38.9697,59.5563
0,-7.1095,177.6493
30345806,48.3794,31.1656
441073630,55.3781,-3.4360
1744916200,37.0902,-95.7129
3964873,41.3775,64.5853
25648,6.4238,-66.5897
5271813,14.0583,108.2772
2491520,-19.0154,29.1549
