Emissions,LAT,LON
1756302,33.9391,67.7100
5170837,41.1533,20.1683
66416464,28.0339,1.6596
0,42.5063,-1.5218
5334352,-11.2027,17.8739
108656130,-38.4161,-63.6167
7719751,40.0691,45.0382
585435,12.5211,-69.9683
204370200,-25.2744,133.7751
52024932,47.5162,14.5501
46109770,40.1431,47.5769
7972125,25.0343,-77.3963
7881264,26.0667,50.5577
7597219,23.6850,90.3563
674176,13.1939,-59.5432
97202570,53.7098,27.9534
134835790,50.5039,4.4699
190528,17.1899,-88.4976
479826,9.3077,2.3158
436016,32.3078,-64.7505
21984,27.5142,90.4336
985616,-22.3285,24.6849
186190690,-14.2350,-51.9253
29312,18.4207,-64.6400
6877328,4.5353,114.7277
77250580,42.7339,25.4858
432352,12.2383,-1.5616
146560,-3.3731,29.9189
285792,12.5657,104.9910
3885945,7.3697,12.3547
442846850,56.1304,-106.3468
120912,16.5388,-23.0418
106256,6.6111,20.9394
208848,15.4542,18.7322
25099940,-35.6751,-71.5430
1494495900,35.0000,103.0000
44174240,4.5709,74.2973
47632,11.6455,-43.3333
405529,-4.0383,21.7587
29312,21.2367,-159.7777
2448461,9.7489,-83.7534
5569280,7.54,5.5471
17856868,45.1000,15.2000
31374024,21.5218,-77.7812
8810933,12.1696,-68.9900
3260647,35.1264,-33.4299
60286204,56.2639,9.5018
348080,11.8251,42.5903
36640,15.4150,-61.3710
6427009,18.7357,-70.1627
13407168,-1.8312,-78.1834
45176028,26.8206,30.8025
58624,13.7942,-88.8965
35313856,58.5953,25.0136
465328,9.1450,40.4897
1817483,-17.7134,178.0650
421360,61.8926,6.9118
792420,17.7134,178.0650
58139290,61.9241,25.7482
511046700,46.2276,2.2137
293120,17.6797,-149.4068
6624651,0.8037,11.6094
157552,13.4432,-15.3101
14295843,42.3154,43.3569
1100066000,51.1657,10.4515
2483492,7.9465,-1.0232
50888696,39.0742,21.8243
564256,71.7069,-42.6043
47632,12.1165,-61.6790
4492606,15.7835,-90.2308
963632,-9.9456,9.6966
146560,11.8037,-15.1804
1788032,4.8604,-58.9302
745071,18.9712,-72.2852
2037957,15.2000,-86.2419
16600216,22.3193,116.1694
86608750,47.1625,19.5033
1861846,64.9631,-19.0208
291711100,20.5937,78.9629
94872870,-0.7893,113.9213
120493920,32.4279,53.6880
45358190,33.2232,43.6793
26271548,53.7798,-7.3055
20984618,31.0461,34.8516
386433020,41.8719,12.5674
8445355,18.1096,-77.2975
944868600,36.2048,138.2529
4695815,30.5852,36.2384
230434880,48.0196,66.9237
6189277,-0.0236,37.9062
29312,1.8369,-157.3768
24616182,29.3117,47.4818
19988408,41.2044,74.7661
186864,19.8563,102.4955
23196282,56.8796,24.6032
5889758,33.8547,35.8623
2037558.1,6.4281,-9.4295
26780556,26.3351,17.2283
157827,47.1410,-9.5209
36422224,55.1694,23.8813
11073563,-49.8153,6.1296
527616,22.1987,111.5439
1613940,-18.7669,46.8691
710076,-13.2543,34.3015
28032596,4.2105,101.9758
43968,3.2028,-73.2207
391343,17.5707,-3.9962
1022256,35.9375,-14.3754
630208,21.0079,-10.9408
589904,-20.3484,57.5522
267743840,23.6345,-102.5528
36412664,47.4116,28.3699
6855166,46.8625,103.8467
1632626,42.7087,19.3744
14656,16.7425,-62.1874
15817737,31.7917,-7.0926
3198489,-18.6657,35.5296
5508783,21.9162,95.9560
124576,0.5228,-166.9315
541295,28.3949,84.1240
176631780,52.1326,5.2913
1998603,-20.9043,165.6180
17478874,-40.9006,174.8860
2022342.9,12.8654,-85.2072
566275,17.6078,8.0817
68035180,9.0820,8.6753
3664,-19.0544,169.8672
114082190,40.3399,127.5101
9108163,41.6086,21.7453
31777006,60.4720,8.4689
6041936,21.4735,55.9754
31931550,30.3753,69.3451
157552,7.5150,134.5825
3107614,8.5380,-80.7821
1828336,-6.3149,143.9555
1485470,-23.4425,-58.4438
24064700,-9.1900,-75.0152
36868560,12.8797,121.7740
463329060,51.9194,19.1451
26773498,39.3999,-8.2245
13081691,25.3548,51.1839
195806610,45.9432,24.9668
2129110400,61.5240,105.3188
494640,-1.9403,29.8739
36640,46.8852,-56.3159
36640,12.9843,61.2872
76944,-13.7590,-172.1046
40304,0.1864,6.6131
169240420,23.8859,45.0792
3336441,14.4974,-14.4524
47981216,44.0165,21.0059
95264,4.6796,-55.4920
608224,8.4606,-11.7799
30433184,1.3521,103.8198
975569,18.0708,-63.0501
59100590,48.6690,19.6990
13558960,46.1512,14.9955
102592,-9.6457,160.1562
813408,5.1521,46.1996
228197800,-30.5595,22.9375
134524430,35.9078,127.7669
311836,6.8770,31.3070
213911900,40.4637,-3.7492
3388599,7.8731,80.7718
3427041,12.8628,30.2176
2369417,3.9193,-56.0278
71713690,60.1282,18.6435
40490604,46.8182,8.2275
20726688,34.8021,38.9968
83514630,23.6978,120.9605
11411372,38.8610,71.2761
1873642,-6.3690,34.8888
39717524,15.8700,100.9925
794433,8.6195,0.8248
40304,-21.1790,-175.1982
16919436,10.6918,-61.2225
9495551,33.8869,9.5375
75212270,38.9637,35.2433
29141752,38.9697,59.5563
0,-7.1095,177.6493
626023,1.3733,32.2903
674859700,48.3794,31.1656
36823400,23.4241,53.8478
579035400,55.3781,-3.4360
4808556000,37.0902,-95.7129
5818505,-32.5228,-55.7658
89785944,41.3775,64.5853
62288,-15.3767,166.9592
90640600,6.4238,-66.5897
16789038,14.0583,108.2772
3313518,15.5527,48.5164
3523262,-13.1339,27.8493
9613952,-19.0154,29.1549
