Emissions,LAT,LON
84272,33.9391,67.7100
296725,41.1533,20.1683
3783605,28.0339,1.6596
0,42.5063,-1.5218
186864,-11.2027,17.8739
29921192,-38.4161,-63.6167
1480408,40.0691,45.0382
409579,12.5211,-69.9683
55738172,-25.2744,133.7751
20894256,47.5162,14.5501
8890568,40.1431,47.5769
54960,25.0343,-77.3963
1381328,26.0667,50.5577
993068,23.6850,90.3563
73280,13.1939,-59.5432
18865480,53.7098,27.9534
76200490,50.5039,4.4699
18320,17.1899,-88.4976
137812,9.3077,2.3158
43968,32.3078,-64.7505
0,27.5142,90.4336
19659072,-14.2350,-51.9253
414032,4.5353,114.7277
7497770,42.7339,25.4858
4053,12.2383,-1.5616
8794,-3.3731,29.9189
139232,7.3697,12.3547
154133760,56.1304,-106.3468
102592,16.5388,-23.0418
47015,6.6111,20.9394
29602,15.4542,18.7322
8450768,-35.6751,-71.5430
78835290,35.0000,103.0000
7497920,4.5709,74.2973
88807,-4.0383,21.7587
285792,9.7489,-83.7534
551249,7.54,5.5471
2935496,45.1000,15.2000
5604643,21.5218,-77.7812
6164268,12.1696,-68.9900
267472,35.1264,-33.4299
21987792,56.2639,9.5018
10992,11.8251,42.5903
347783,18.7357,-70.1627
739890,-1.8312,-78.1834
10233085,26.8206,30.8025
10992,13.7942,-88.8965
6873541,58.5953,25.0136
3664,9.1450,40.4897
87907,-17.7134,178.0650
40304,61.8926,6.9118
120912,17.7134,178.0650
6544565,61.9241,25.7482
202278640,46.2276,2.2137
10448,0.8037,11.6094
14656,13.4432,-15.3101
2756028,42.3154,43.3569
510681820,51.1657,10.4515
637536,7.9465,-1.0232
4127723.2,39.0742,21.8243
98928,71.7069,-42.6043
7328,12.1165,-61.6790
619038,15.7835,-90.2308
182399,-9.9456,9.6966
7328,11.8037,-15.1804
260144,4.8604,-58.9302
113584,18.9712,-72.2852
300448,15.2000,-86.2419
1318773,22.3193,116.1694
18390042,47.1625,19.5033
740128,64.9631,-19.0208
61102560,20.5937,78.9629
9830512,-0.7893,113.9213
9600773,32.4279,53.6880
1648533,33.2232,43.6793
9726138,53.7798,-7.3055
1669239,31.0461,34.8516
41430596,41.8719,12.5674
271136,18.1096,-77.2975
102540984,36.2048,138.2529
172208,30.5852,36.2384
45205824,48.0196,66.9237
908672,-0.0236,37.9062
384720,29.3117,47.4818
3902461,41.2044,74.7661
4491590,56.8796,24.6032
1512165,33.8547,35.8623
47632,6.4281,-9.4295
142896,26.3351,17.2283
6960947,55.1694,23.8813
7419065,-49.8153,6.1296
0,22.1987,111.5439
304082,-18.7669,46.8691
234550,-13.2543,34.3015
3655348,4.2105,101.9758
245488,35.9375,-14.3754
0,21.0079,-10.9408
201520,-20.3484,57.5522
30507610,23.6345,-102.5528
7006875,47.4116,28.3699
285792,46.8625,103.8467
269235,42.7087,19.3744
2559830,31.7917,-7.0926
901137,-18.6657,35.5296
802416,21.9162,95.9560
25648,28.3949,84.1240
51286268,52.1326,5.2913
219840,-20.9043,165.6180
8569056,-40.9006,174.8860
190469,12.8654,-85.2072
28373,17.6078,8.0817
2257024,9.0820,8.6753
780432,40.3399,127.5101
1508394,41.6086,21.7453
8432180,60.4720,8.4689
5354962,30.3753,69.3451
523744,8.5380,-80.7821
54960,-6.3149,143.9555
62288,-23.4425,-58.4438
4542024,-9.1900,-75.0152
3604187,12.8797,121.7740
112122900,51.9194,19.1451
5618258,39.3999,-8.2245
351744,25.3548,51.1839
19416586,45.9432,24.9668
414992030,61.5240,105.3188
16854,-1.9403,29.8739
14656,46.8852,-56.3159
3664,12.9843,61.2872
3664,-13.7590,-172.1046
5140592,23.8859,45.0792
361720,14.4974,-14.4524
7936684,44.0165,21.0059
157552,8.4606,-11.7799
1913932,1.3521,103.8198
682524,18.0708,-63.0501
18519542,48.6690,19.6990
2250828,46.1512,14.9955
47632,5.1521,46.1996
61031116,-30.5595,22.9375
2183685,35.9078,127.7669
45768,6.8770,31.3070
33035424,40.4637,-3.7492
1626816,7.8731,80.7718
503831.97,12.8628,30.2176
212512,3.9193,-56.0278
28655598,60.1282,18.6435
10232846,46.8182,8.2275
413762,34.8021,38.9968
3783573,23.6978,120.9605
2211518,38.8610,71.2761
498304,-6.3690,34.8888
955618,15.8700,100.9925
25648,8.6195,0.8248
7328,-21.1790,-175.1982
2352288,10.6918,-61.2225
1219429,33.8869,9.5375
9488155,38.9637,35.2433
5585335,38.9697,59.5563
0,-7.1095,177.6493
106256,1.3733,32.2903
131830050,48.3794,31.1656
500792130,55.3781,-3.4360
2541485300,37.0902,-95.7129
2453662,-32.5228,-55.7658
17113112,41.3775,64.5853
38275788,6.4238,-66.5897
1479660,14.0583,108.2772
58624,15.5527,48.5164
2330187,-13.1339,27.8493
3179810,-19.0154,29.1549
