,LAT,LON
,33.9391,67.7100
,33.9391,67.7100
,33.9391,67.7100
,33.9391,67.7100
,33.9391,67.7100
,33.9391,67.7100
,33.9391,67.7100
,33.9391,67.7100
,41.1533,20.1683
,41.1533,20.1683
,41.1533,20.1683
,41.1533,20.1683
,41.1533,20.1683
,41.1533,20.1683
,41.1533,20.1683
,41.1533,20.1683
,41.1533,20.1683
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,28.0339,1.6596
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,42.5063,-1.5218
,-11.2027,17.8739
,-11.2027,17.8739
,-11.2027,17.8739
,-11.2027,17.8739
,-11.2027,17.8739
,-11.2027,17.8739
,-11.2027,17.8739
,-11.2027,17.8739
,18.2206,-63.0686
,18.2206,-63.0686
,18.2206,-63.0686
,18.2206,-63.0686
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,-38.4161,-63.6167
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,40.0691,45.0382
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,12.5211,-69.9683
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,-25.2744,133.7751
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,47.5162,14.5501
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,40.1431,47.5769
,25.0343,-77.3963
,25.0343,-77.3963
,25.0343,-77.3963
,25.0343,-77.3963
,25.0343,-77.3963
,25.0343,-77.3963
,25.0343,-77.3963
,25.0343,-77.3963
,26.0667,50.5577
,26.0667,50.5577
,26.0667,50.5577
,26.0667,50.5577
,26.0667,50.5577
,26.0667,50.5577
,26.0667,50.5577
,26.0667,50.5577
,26.0667,50.5577
,23.6850,90.3563
,23.6850,90.3563
,23.6850,90.3563
,23.6850,90.3563
,23.6850,90.3563
,23.6850,90.3563
,23.6850,90.3563
,23.6850,90.3563
,13.1939,-59.5432
,13.1939,-59.5432
,13.1939,-59.5432
,13.1939,-59.5432
,13.1939,-59.5432
,13.1939,-59.5432
,13.1939,-59.5432
,13.1939,-59.5432
,13.1939,-59.5432
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,53.7098,27.9534
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,50.5039,4.4699
,17.1899,-88.4976
,17.1899,-88.4976
,17.1899,-88.4976
,17.1899,-88.4976
,17.1899,-88.4976
