Emissions,LAT,LON
8364803.5,33.9391,67.7100
4783865,41.1533,20.1683
118353256,28.0339,1.6596
516623.97,42.5063,-1.5218
22983320,-11.2027,17.8739
185854340,-38.4161,-63.6167
4252750,40.0691,45.0382
2506176,12.5211,-69.9683
405512200,-25.2744,133.7751
72017330,47.5162,14.5501
27549052,40.1431,47.5769
2227712,25.0343,-77.3963
29075436,26.0667,50.5577
53991556,23.6850,90.3563
1845064,13.1939,-59.5432
62445120,53.7098,27.9534
114604104,50.5039,4.4699
538608,17.1899,-88.4976
4679390,9.3077,2.3158
608224,32.3078,-64.7505
487768,27.5142,90.4336
4537275,-22.3285,24.6849
440269020,-14.2350,-51.9253
212512,18.4207,-64.6400
8017381.5,4.5353,114.7277
47808404,42.7339,25.4858
2036372,12.2383,-1.5616
296784,-3.3731,29.9189
5078142,12.5657,104.9910
8383322,7.3697,12.3547
556062100,56.1304,-106.3468
556928,16.5388,-23.0418
168544,6.6111,20.9394
1236006,15.4542,18.7322
71347520,-35.6751,-71.5430
8620627000,35.0000,103.0000
76266460,4.5709,74.2973
161216,11.6455,-43.3333
5499943,-4.0383,21.7587
73280,21.2367,-159.7777
7492647,9.7489,-83.7534
6224746,7.54,5.5471
21018168,45.1000,15.2000
34199816,21.5218,-77.7812
4054720,12.1696,-68.9900
8101123,35.1264,-33.4299
49189692,56.2639,9.5018
516623.97,11.8251,42.5903
172208,15.4150,-61.3710
20553454,18.7357,-70.1627
36276410,-1.8312,-78.1834
203607570,26.8206,30.8025
6402228,13.7942,-88.8965
497337,15.1794,39.7823
18975448,58.5953,25.0136
996608,9.1450,40.4897
6336871,-17.7134,178.0650
630208,61.8926,6.9118
1091800,17.7134,178.0650
64081000,61.9241,25.7482
376563900,46.2276,2.2137
923328,17.6797,-149.4068
5836069,0.8037,11.6094
425024,13.4432,-15.3101
6208043,42.3154,43.3569
831129600,51.1657,10.4515
8942513,7.9465,-1.0232
97354150,39.0742,21.8243
679400,71.7069,-42.6043
260144,12.1165,-61.6790
11097682,15.7835,-90.2308
2484192,-9.9456,9.6966
238160,11.8037,-15.1804
1886960,4.8604,-58.9302
2136827,18.9712,-72.2852
7996618,15.2000,-86.2419
40062904,22.3193,116.1694
52087460,47.1625,19.5033
3627419,64.9631,-19.0208
1677337200,20.5937,78.9629
445806080,-0.7893,113.9213
552953100,32.4279,53.6880
113536270,33.2232,43.6793
41793224,53.7798,-7.3055
68286904,31.0461,34.8516
436534300,41.8719,12.5674
7677295,18.1096,-77.2975
1214707500,36.2048,138.2529
20615326,30.5852,36.2384
248803230,48.0196,66.9237
12163160,-0.0236,37.9062
58624,1.8369,-157.3768
8354687.5,42.6026,20.9030
90869910,29.3117,47.4818
6355656,41.2044,74.7661
3004513,19.8563,102.4955
8555267,56.8796,24.6032
19996596,33.8547,35.8623
2275344,-29.6100,28.2336
756900,6.4281,-9.4295
61085580,26.3351,17.2283
190830,47.1410,-9.5209
13803169,55.1694,23.8813
11197591,-49.8153,6.1296
1234768,22.1987,111.5439
1871843,-18.7669,46.8691
968498,-13.2543,34.3015
199346100,4.2105,101.9758
934320,3.2028,-73.2207
2088480,17.5707,-3.9962
2602794,35.9375,-14.3754
135568,7.1315,171.1845
2093519.9,21.0079,-10.9408
3913152,-20.3484,57.5522
456597400,23.6345,-102.5528
102592,7.4256,150.5508
4830905,47.4116,28.3699
13772318,46.8625,103.8467
2421904,42.7087,19.3744
58624,16.7425,-62.1874
54365200,31.7917,-7.0926
2634548,-18.6657,35.5296
13121587,21.9162,95.9560
2839600,-22.9576,18.4904
43968,0.5228,-166.9315
4824304,28.3949,84.1240
182358960,52.1326,5.2913
3657625,-20.9043,165.6180
34810384,-40.9006,174.8860
4467845,12.8654,-85.2072
1159981,17.6078,8.0817
111426824,9.0820,8.6753
3664,-19.0544,169.8672
50091130,40.3399,127.5101
8185511.5,41.6086,21.7453
45621000,60.4720,8.4689
51149068,21.4735,55.9754
153908660,30.3753,69.3451
208848,7.5150,134.5825
2033520,31.9522,35.2332
9072099,8.5380,-80.7821
4714717,-6.3149,143.9555
5021793,-23.4425,-58.4438
42505100,-9.1900,-75.0152
83063350,12.8797,121.7740
334224580,51.9194,19.1451
52933984,39.3999,-8.2245
73421576,25.3548,51.1839
86094090,45.9432,24.9668
1632783200,61.5240,105.3188
580977,-1.9403,29.8739
10992,-15.9650,5.7089
65952,46.8852,-56.3159
219840,12.9843,61.2872
183200,-13.7590,-172.1046
102592,0.1864,6.6131
524604130,23.8859,45.0792
6862391,14.4974,-14.4524
45696428,44.0165,21.0059
443344,4.6796,-55.4920
