Emissions,LAT,LON
1047127.94,33.9391,67.7100
3024926,41.1533,20.1683
85398600,28.0339,1.6596
523952,42.5063,-1.5218
15995108,-11.2027,17.8739
142765220,-38.4161,-63.6167
3491407,40.0691,45.0382
2377936,12.5211,-69.9683
350007680,-25.2744,133.7751
66171724,47.5162,14.5501
29765310,40.1431,47.5769
2026192,25.0343,-77.3963
19233764,26.0667,50.5577
26524610,23.6850,90.3563
1748824,13.1939,-59.5432
54905984,53.7098,27.9534
126721544,50.5039,4.4699
395712,17.1899,-88.4976
1472928,9.3077,2.3158
516623.97,32.3078,-64.7505
396871,27.5142,90.4336
3777584,-22.3285,24.6849
340183000,-14.2350,-51.9253
117248,18.4207,-64.6400
5328739,4.5353,114.7277
45413456,42.7339,25.4858
1029710.06,12.2383,-1.5616
271136,-3.3731,29.9189
1974896,12.5657,104.9910
5588569,7.3697,12.3547
567096100,56.1304,-106.3468
296784,16.5388,-23.0418
234496,6.6111,20.9394
487512,15.4542,18.7322
58502596,-35.6751,-71.5430
3649201000,35.0000,103.0000
56591360,4.5709,74.2973
102592,11.6455,-43.3333
4284250,-4.0383,21.7587
51296,21.2367,-159.7777
5393873,9.7489,-83.7534
6633573,7.54,5.5471
19660010,45.1000,15.2000
25775496,21.5218,-77.7812
4990174,12.1696,-68.9900
7104597,35.1264,-33.4299
54306576,56.2639,9.5018
366400,11.8251,42.5903
102592,15.4150,-61.3710
18991626,18.7357,-70.1627
20927296,-1.8312,-78.1834
143836050,26.8206,30.8025
2699265,13.7942,-88.8965
604433,15.1794,39.7823
15481725,58.5953,25.0136
1209120,9.1450,40.4897
3462855,-17.7134,178.0650
688832,61.8926,6.9118
814852,17.7134,178.0650
57010000,61.9241,25.7482
406507520,46.2276,2.2137
611888,17.6797,-149.4068
6128187,0.8037,11.6094
274800,13.4432,-15.3101
4500388,42.3154,43.3569
898938050,51.1657,10.4515
5312800,7.9465,-1.0232
102973170,39.0742,21.8243
667765,71.7069,-42.6043
190528,12.1165,-61.6790
9764762,15.7835,-90.2308
1491248,-9.9456,9.6966
146560,11.8037,-15.1804
1747728,4.8604,-58.9302
1634144,18.9712,-72.2852
5031508,15.2000,-86.2419
40282788,22.3193,116.1694
58505984,47.1625,19.5033
2933190,64.9631,-19.0208
977526400,20.5937,78.9629
281330370,-0.7893,113.9213
364302370,32.4279,53.6880
83265550,33.2232,43.6793
45249110,53.7798,-7.3055
59519380,31.0461,34.8516
470524100,41.8719,12.5674
10313990,18.1096,-77.2975
1263754800,36.2048,138.2529
15200204,30.5852,36.2384
143380210,48.0196,66.9237
10408840,-0.0236,37.9062
36640,1.8369,-157.3768
54889610,29.3117,47.4818
4575258,41.2044,74.7661
960400,19.8563,102.4955
7082575,56.8796,24.6032
15466264,33.8547,35.8623
1850320,-29.6100,28.2336
398769,6.4281,-9.4295
53238540,26.3351,17.2283
216860,47.1410,-9.5209
11843035,55.1694,23.8813
8703619,-49.8153,6.1296
1630480,22.1987,111.5439
1947883,-18.7669,46.8691
857646,-13.2543,34.3015
122878050,4.2105,101.9758
450672,3.2028,-73.2207
1066224,17.5707,-3.9962
2468153,35.9375,-14.3754
98928,7.1315,171.1845
1113856,21.0079,-10.9408
2689376,-20.3484,57.5522
391725000,23.6345,-102.5528
179536,7.4256,150.5508
3572952,47.4116,28.3699
7431864,46.8625,103.8467
1520843,42.7087,19.3744
25648,16.7425,-62.1874
33199036,31.7917,-7.0926
1321945,-18.6657,35.5296
10219368,21.9162,95.9560
1604832,-22.9576,18.4904
84272,0.5228,-166.9315
3037431,28.3949,84.1240
172016290,52.1326,5.2913
2220454,-20.9043,165.6180
32245506,-40.9006,174.8860
3721323,12.8654,-85.2072
686970,17.6078,8.0817
96846750,9.0820,8.6753
7328,-19.0544,169.8672
69164936,40.3399,127.5101
8467603,41.6086,21.7453
42110000,60.4720,8.4689
23890246,21.4735,55.9754
103939510,30.3753,69.3451
208848,7.5150,134.5825
1659792,31.9522,35.2332
5728391,8.5380,-80.7821
2937897,-6.3149,143.9555
3606132,-23.4425,-58.4438
28677526,-9.1900,-75.0152
72356790,12.8797,121.7740
317452220,51.9194,19.1451
65611372,39.3999,-8.2245
40314500,25.3548,51.1839
93334050,45.9432,24.9668
1479142400,61.5240,105.3188
515133.03,-1.9403,29.8739
10992,-15.9650,5.7089
54960,46.8852,-56.3159
146560,12.9843,61.2872
142896,-13.7590,-172.1046
47632,0.1864,6.6131
302328160,23.8859,45.0792
3902052,14.4974,-14.4524
44950190,44.0165,21.0059
315104,4.6796,-55.4920
271136,8.4606,-11.7799
48394110,1.3521,103.8198
552525,18.0708,-63.0501
41138784,48.6690,19.6990
15053848,46.1512,14.9955
223504,-9.6457,160.1562
476320,5.1521,46.1996
378306880,-30.5595,22.9375
439980670,35.9078,127.7669
459821,6.8770,31.3070
310071230,40.4637,-3.7492
10134099,7.8731,80.7718
5276282,12.8628,30.2176
2192347,3.9193,-56.0278
54930064,60.1282,18.6435
43614184,46.8182,8.2275
54171076,34.8021,38.9968
226900000,23.6978,120.9605
2233862,38.8610,71.2761
2571821,-6.3690,34.8888
167352140,15.8700,100.9925
1331372,8.6195,0.8248
95264,-21.1790,-175.1982
24366292,10.6918,-61.2225
19554614,33.8869,9.5375
229936660,38.9637,35.2433
39361496,38.9697,59.5563
109920,21.6940,-71.7979
7328,-7.1095,177.6493
1360870,1.3733,32.2903
285674200,48.3794,31.1656
111813100,23.4241,53.8478
569033660,55.3781,-3.4360
6010135600,37.0902,-95.7129
5268017,-32.5228,-55.7658
123477320,41.3775,64.5853
87936,-15.3767,166.9592
142834900,6.4238,-66.5897
53935468,14.0583,108.2772
25648,-14.2938,-178.1165
15725321,15.5527,48.5164
1784113,-13.1339,27.8493
13818202,-19.0154,29.1549
