Emissions,LAT,LON
0,42.5063,-1.5218
2070159.9,-38.4161,-63.6167
166044,40.0691,45.0382
10167600,-25.2744,133.7751
27696176,47.5162,14.5501
995323,40.1431,47.5769
2097617,53.7098,27.9534
49665520,50.5039,4.4699
0,27.5142,90.4336
0,4.5353,114.7277
216176,42.7339,25.4858
20628320,56.1304,-106.3468
850048,-35.6751,-71.5430
0,7.54,5.5471
133765,45.1000,15.2000
5147920,56.2639,9.5018
760423,58.5953,25.0136
600896,61.9241,25.7482
129276920,46.2276,2.2137
308849,42.3154,43.3569
326759200,51.1657,10.4515
417696,39.0742,21.8243
0,71.7069,-42.6043
0,-9.9456,9.6966
9585024,47.1625,19.5033
11929561,20.5937,78.9629
1209120,-0.7893,113.9213
13908544,41.8719,12.5674
19411872,36.2048,138.2529
4995716,48.0196,66.9237
431490,41.2044,74.7661
498328,56.8796,24.6032
779806,55.1694,23.8813
0,22.1987,111.5439
58624,4.2105,101.9758
0,21.0079,-10.9408
1000272.06,23.6345,-102.5528
775708,47.4116,28.3699
12144,42.7087,19.3744
14634016,52.1326,5.2913
2440224,-40.9006,174.8860
70468,41.6086,21.7453
4154976,60.4720,8.4689
0,-6.3149,143.9555
245488,-9.1900,-75.0152
63306590,51.9194,19.1451
2465872,39.3999,-8.2245
1238432,45.9432,24.9668
45981100,61.5240,105.3188
357383,44.0165,21.0059
0,8.4606,-11.7799
0,1.3521,103.8198
10844320,48.6690,19.6990
101936,46.1512,14.9955
2330304,-30.5595,22.9375
11219168,40.4637,-3.7492
9170992,60.1282,18.6435
5675536,46.8182,8.2275
109920,23.6978,120.9605
245958,38.8610,71.2761
1036911.94,38.9637,35.2433
629717,38.9697,59.5563
0,-7.1095,177.6493
14603535,48.3794,31.1656
419740500,55.3781,-3.4360
662738400,37.0902,-95.7129
1955971,41.3775,64.5853
512960.03,14.0583,108.2772
