Emissions,LAT,LON
2024326.1,33.9391,67.7100
5520602,41.1533,20.1683
76737624,28.0339,1.6596
406704,42.5063,-1.5218
5089864,-11.2027,17.8739
112079090,-38.4161,-63.6167
8947546,40.0691,45.0382
487312,12.5211,-69.9683
278160300,-25.2744,133.7751
62167160,47.5162,14.5501
51151204,40.1431,47.5769
2022527.9,25.0343,-77.3963
11555729,26.0667,50.5577
14081596,23.6850,90.3563
1275266,13.1939,-59.5432
108345060,53.7098,27.9534
120292800,50.5039,4.4699
311440,17.1899,-88.4976
579346,9.3077,2.3158
501968.03,32.3078,-64.7505
185730,27.5142,90.4336
2700368,-22.3285,24.6849
218658000,-14.2350,-51.9253
65952,18.4207,-64.6400
5455696,4.5353,114.7277
76637980,42.7339,25.4858
582576,12.2383,-1.5616
208848,-3.3731,29.9189
1260416,12.5657,104.9910
2604793,7.3697,12.3547
458503070,56.1304,-106.3468
179536,16.5388,-23.0418
183200,6.6111,20.9394
377392,15.4542,18.7322
32908116,-35.6751,-71.5430
2484854800,35.0000,103.0000
56897744,4.5709,74.2973
65952,11.6455,-43.3333
1007907.06,-4.0383,21.7587
43968,21.2367,-159.7777
2913015,9.7489,-83.7534
4781520,7.54,5.5471
22974684,45.1000,15.2000
29648420,21.5218,-77.7812
4823944,12.1696,-68.9900
4644861,35.1264,-33.4299
53476972,56.2639,9.5018
296784,11.8251,42.5903
58624,15.4150,-61.3710
8936017,18.7357,-70.1627
16457821,-1.8312,-78.1834
75217530,26.8206,30.8025
62288,13.7942,-88.8965
0,15.1794,39.7823
36919604,58.5953,25.0136
959968,9.1450,40.4897
2986507,-17.7134,178.0650
703488,61.8926,6.9118
801220,17.7134,178.0650
56915000,61.9241,25.7482
393430700,46.2276,2.2137
468992,17.6797,-149.4068
4484725,0.8037,11.6094
197856,13.4432,-15.3101
15948386,42.3154,43.3569
1054740600,51.1657,10.4515
3513776,7.9465,-1.0232
83438040,39.0742,21.8243
624714,71.7069,-42.6043
106256,12.1165,-61.6790
4972245,15.7835,-90.2308
1003936.06,-9.9456,9.6966
172208,11.8037,-15.1804
1128512,4.8604,-58.9302
994997,18.9712,-72.2852
2504658,15.2000,-86.2419
27147690,22.3193,116.1694
73376824,47.1625,19.5033
2222787,64.9631,-19.0208
577996000,20.5937,78.9629
155080830,-0.7893,113.9213
209943740,32.4279,53.6880
49057050,33.2232,43.6793
32944420,53.7798,-7.3055
35824360,31.0461,34.8516
438904300,41.8719,12.5674
7527165,18.1096,-77.2975
1157195500,36.2048,138.2529
10476423,30.5852,36.2384
268173090,48.0196,66.9237
5819044,-0.0236,37.9062
21984,1.8369,-157.3768
37807036,29.3117,47.4818
18997598,41.2044,74.7661
512960.03,19.8563,102.4955
19662722,56.8796,24.6032
7868195,33.8547,35.8623
1472928,-29.6100,28.2336
456132,6.4281,-9.4295
36513784,26.3351,17.2283
198971,47.1410,-9.5209
35737676,55.1694,23.8813
11815503,-49.8153,6.1296
1033247.94,22.1987,111.5439
944296,-18.7669,46.8691
740333,-13.2543,34.3015
54269364,4.2105,101.9758
172208,3.2028,-73.2207
422243,17.5707,-3.9962
2427397,35.9375,-14.3754
853712,21.0079,-10.9408
