Emissions,LAT,LON
692496,41.1533,20.1683
238160,28.0339,1.6596
0,42.5063,-1.5218
15864415,-38.4161,-63.6167
1063548,40.0691,45.0382
150449,12.5211,-69.9683
35346490,-25.2744,133.7751
7343022,47.5162,14.5501
6385680,40.1431,47.5769
2967840,26.0667,50.5577
13525651,53.7098,27.9534
62103940,50.5039,4.4699
0,27.5142,90.4336
6485943,-14.2350,-51.9253
2960512,4.5353,114.7277
4100016,42.7339,25.4858
108621770,56.1304,-106.3468
5259959,-35.6751,-71.5430
90790530,35.0000,103.0000
4165195,4.5709,74.2973
0,7.54,5.5471
1725450,45.1000,15.2000
2264287,12.1696,-68.9900
14822761,56.2639,9.5018
1088149,-1.8312,-78.1834
3028672,26.8206,30.8025
7269,15.1794,39.7823
4920145,58.5953,25.0136
2314430,61.9241,25.7482
137737090,46.2276,2.2137
1979384,42.3154,43.3569
654325000,51.1657,10.4515
237387,39.0742,21.8243
0,71.7069,-42.6043
0,-9.9456,9.6966
15824816,47.1625,19.5033
425008,64.9631,-19.0208
52309530,20.5937,78.9629
28733088,-0.7893,113.9213
27127988,32.4279,53.6880
7690736,33.2232,43.6793
11522181,53.7798,-7.3055
72686,31.0461,34.8516
49030564,41.8719,12.5674
153244270,36.2048,138.2529
32349400,48.0196,66.9237
2792886,41.2044,74.7661
3217996,56.8796,24.6032
21806,33.8547,35.8623
5001455,55.1694,23.8813
0,22.1987,111.5439
2568464,4.2105,101.9758
0,21.0079,-10.9408
23209478,23.6345,-102.5528
5011819,47.4116,28.3699
156650,42.7087,19.3744
395712,31.7917,-7.0926
65833,-18.6657,35.5296
3173024,21.9162,95.9560
33437664,52.1326,5.2913
4758645,-40.9006,174.8860
835392,9.0820,8.6753
14429603,40.3399,127.5101
908966,41.6086,21.7453
6509561,60.4720,8.4689
0,-6.3149,143.9555
5297639,-9.1900,-75.0152
113584,12.8797,121.7740
167246940,51.9194,19.1451
3897397,39.3999,-8.2245
23946298,45.9432,24.9668
297191400,61.5240,105.3188
2147104,23.8859,45.0792
4609910,44.0165,21.0059
0,8.4606,-11.7799
0,1.3521,103.8198
250708.02,18.0708,-63.0501
18544580,48.6690,19.6990
1314886,46.1512,14.9955
41517090,-30.5595,22.9375
801645,35.9078,127.7669
21618628,40.4637,-3.7492
18474730,60.1282,18.6435
8311001,46.8182,8.2275
21806,34.8021,38.9968
7767680,23.6978,120.9605
1585333,38.8610,71.2761
58149,15.8700,100.9925
10735520,10.6918,-61.2225
58370,33.8869,9.5375
5469282,38.9637,35.2433
4018758.8,38.9697,59.5563
0,-7.1095,177.6493
94393624,48.3794,31.1656
475143870,55.3781,-3.4360
1874985100,37.0902,-95.7129
83589,-32.5228,-55.7658
12341426,41.3775,64.5853
12343659,6.4238,-66.5897
6769943,14.0583,108.2772
3425840,-19.0154,29.1549
