Emissions,LAT,LON
0,42.5063,-1.5218
40,40.0691,45.0382
5748,-25.2744,133.7751
494640,47.5162,14.5501
511,53.7098,27.9534
6195824,50.5039,4.4699
0,27.5142,90.4336
0,4.5353,114.7277
3664,56.1304,-106.3468
0,7.54,5.5471
185,58.5953,25.0136
6551232,46.2276,2.2137
75,42.3154,43.3569
4792512,51.1657,10.4515
0,71.7069,-42.6043
0,-9.9456,9.6966
113584,47.1625,19.5033
1217,48.0196,66.9237
105,41.2044,74.7661
121,56.8796,24.6032
190,55.1694,23.8813
0,22.1987,111.5439
0,21.0079,-10.9408
189,47.4116,28.3699
7328,60.4720,8.4689
0,-6.3149,143.9555
989280,51.9194,19.1451
11198,61.5240,105.3188
0,8.4606,-11.7799
0,1.3521,103.8198
3664,40.4637,-3.7492
60,38.8610,71.2761
153,38.9697,59.5563
0,-7.1095,177.6493
3556,48.3794,31.1656
67724220,55.3781,-3.4360
2088480,37.0902,-95.7129
476,41.3775,64.5853
