Emissions,LAT,LON
0,42.5063,-1.5218
250.99998,40.0691,45.0382
112052,-25.2744,133.7751
2326640,47.5162,14.5501
3167,53.7098,27.9534
9332208,50.5039,4.4699
0,27.5142,90.4336
0,4.5353,114.7277
58624,56.1304,-106.3468
0,7.54,5.5471
340752,56.2639,9.5018
1148,58.5953,25.0136
19617056,46.2276,2.2137
466,42.3154,43.3569
15139648,51.1657,10.4515
0,71.7069,-42.6043
0,-9.9456,9.6966
395712,53.7798,-7.3055
7543,48.0196,66.9237
652,41.2044,74.7661
752,56.8796,24.6032
1177,55.1694,23.8813
0,22.1987,111.5439
0,21.0079,-10.9408
1171,47.4116,28.3699
3136384,52.1326,5.2913
139232,60.4720,8.4689
0,-6.3149,143.9555
3202336,51.9194,19.1451
69427,61.5240,105.3188
0,8.4606,-11.7799
0,1.3521,103.8198
494640,40.4637,-3.7492
201520,60.1282,18.6435
371,38.8610,71.2761
951,38.9697,59.5563
0,-7.1095,177.6493
22050,48.3794,31.1656
122350150,55.3781,-3.4360
19792928,37.0902,-95.7129
2953,41.3775,64.5853
