Emissions,LAT,LON
0,42.5063,-1.5218
8548,40.0691,45.0382
1402391,-25.2744,133.7751
7364640,47.5162,14.5501
51242,40.1431,47.5769
107992,53.7098,27.9534
24746656,50.5039,4.4699
0,27.5142,90.4336
0,4.5353,114.7277
1223776,56.1304,-106.3468
0,7.54,5.5471
1143168,56.2639,9.5018
39149,58.5953,25.0136
91600,61.9241,25.7482
50537550,46.2276,2.2137
15900.999,42.3154,43.3569
76639890,51.1657,10.4515
201520,39.0742,21.8243
0,71.7069,-42.6043
0,-9.9456,9.6966
2121456,47.1625,19.5033
2678384,41.8719,12.5674
18320,36.2048,138.2529
257195,48.0196,66.9237
22214,41.2044,74.7661
25655,56.8796,24.6032
40147,55.1694,23.8813
0,22.1987,111.5439
0,21.0079,-10.9408
39936,47.4116,28.3699
4942736,52.1326,5.2913
630208,60.4720,8.4689
0,-6.3149,143.9555
16663872,51.9194,19.1451
21984,39.3999,-8.2245
36640,45.9432,24.9668
2367251,61.5240,105.3188
0,8.4606,-11.7799
0,1.3521,103.8198
1561161,48.6690,19.6990
3074096,40.4637,-3.7492
1341024,60.1282,18.6435
897680,46.8182,8.2275
12663,38.8610,71.2761
157552,38.9637,35.2433
32419.998,38.9697,59.5563
0,-7.1095,177.6493
751836,48.3794,31.1656
228494370,55.3781,-3.4360
98620220,37.0902,-95.7129
100700,41.3775,64.5853
